Data Structures And Algorithms,CS-209,4,3,
Computer Networks,CS-221,4,3,
Digital Logic Design,CS-154,4,2,
Computer Organization And Assembly Language,CS-255,4,3,
Discrete Structures,CS-261,3,3,
Probability And Statistics,STAT-205,3,3,
Applied Physics,PHY-117,3,1,
English Language Skills,ENG-102,3,2,
Introduction To Grammar,ENG-101,3,1,
Multivariable Calculus,MATH-110,3,2,
Pakistan Studies,PKS-101,2,1,
Calculus And Analytical Geometry,MATH-107,3,1,
Islamic Studies,ISL-100,2,1,
